sheet_name,row_index,chapter,subchapter,code_article,product_name,unite,quantite,matched_page,matched_pdf,brand,specs,matched_excerpt,match_confidence
descriptif,10,Plomberie,Alimentation eau froide – eau chaude,B-06,ROBINET DE PUISAGE,U,,5,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"robinet de puisage à 1/4 de tour | Y compris fixation, pose et raccordement aux alimentations et toutes sujétions de fourniture et de pose","PRIX N°B-06 : ROBINET DE PUISAGE
Fourniture et pose d’un robinet de puisage à 1/4 de tour.
Y compris fixation, pose et raccordement aux alimentations et toutes sujétions de fourniture et de
pose.",0.99
descriptif,11,Plomberie,Equipement bassin d’eau,,POSTE DE FILTRATION,U,,6,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"Equipement de régulation chlore et PH de type régulation colorimétrique avec alarmes et renvois | 2 seuils d'injection Mesure PH, Redox et température | Bac de dosage 100 l en polyéthylène gradué et translucide avec contact de niveau bas | Bac de rétention pour bac 100 L en polyéthylène translucide","3 : TRAITEMENT D’EAU BASSIN
• Traitement d'eau automatique chlore et PH :
Equipement de régulation chlore et PH de type régulation colorimétrique avec alarmes et renvois
- Sonde de mesure PH
- 2 seuils d'injection Mesure PH, Redox et température,
- Affichage clair des valeurs et de leurs consignes
- Bac de dosage 100 l en polyéthylène gradué et translucide avec contact de niveau bas
- Bac de rétention pour bac 100 L en polyéthylène translucide
- Alarme de niveau des réactifs ou défauts d’injection
• Divers
- Forfait de mise en service et de réglage
- Formation du personnel",0.73
descriptif,12,Plomberie,Equipement bassin d’eau,,GROUPE ELECTROPOMPE,U,,6,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"Le présent poste comprend la fourniture, la pose et la mise en route d’un groupe électropompe | Pompes centrifuges de 2900 r.p.m | Fabriquées en fonte et qui intègrent une volute en spirale et le préfiltre adossé","- Le lavage des filtres sera manuel.
- 1 indicateur de colmatage
2 : PREFILTRATION – GROUPE ELECTROPOMPE
Le présent poste comprend la fourniture, la pose et la mise en route d’un groupe électropompe :
• Pompes centrifuges de 2900 r.p.m.
• Fabriquées en fonte et qui intègrent une volute en spirale et le préfiltre adossé.",0.974
descriptif,13,Plomberie,Equipement bassin d’eau,,TRAITEMENT D’EAU BASSIN,U,,6,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,01 clapet anti-retour approprié | Equipement de régulation chlore et PH de type régulation colorimétrique avec alarmes et renvois | Bac de dosage 100 l en polyéthylène gradué et translucide avec contact de niveau bas | Bac de rétention pour bac 100 L en polyéthylène translucide,"- 01 clapet anti-retour approprié.
- Plots anti-vibratiles
3 : TRAITEMENT D’EAU BASSIN
• Traitement d'eau automatique chlore et PH :
Equipement de régulation chlore et PH de type régulation colorimétrique avec alarmes et renvois
- Sonde de mesure PH
- Bac de dosage 100 l en polyéthylène gradué et translucide avec contact de niveau bas
- Bac de rétention pour bac 100 L en polyéthylène translucide
- Alarme de niveau des réactifs ou défauts d’injection
• Divers
- Forfait de mise en service et de réglage
- Formation du personnel",0.958
descriptif,14,Plomberie,Equipement bassin d’eau,,Bouches de refoulement grand débit,U,4,7,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,04 Bouches de refoulement grand débit réglables 6 à 8 m3/h construites en matière cycolac | 02 grilles bonde de fond avec grille en inox | 02 Prises de balai aspirateur réglable (prise balai) diamètre 2’’ en cycolac | un coffret métallique étanche (norme IP55) avec fermeture à clef,"- Kit de manipulation et de sécurité (masque, gants...)
4 : PIECES A SCELLER
04 Bouches de refoulement grand débit réglables 6 à 8 m3/h construites en matière cycolac.
02 grilles bonde de fond avec grille en inox.
02 Prises de balai aspirateur réglable (prise balai) diamètre 2’’ en cycolac
02 trop plein + vidange
- un coffret métallique étanche (norme IP55) avec fermeture à clef.
- un disjoncteur magnétothermique différentiel générale réglable
- un disjoncteur moteur par pompe
- un contacteur par pompe
- un contacteur pour l’éclairage
- une horloge pour la gestion de l’éclairage",0.99
descriptif,15,Plomberie,Equipement bassin d’eau,,Grilles bonde de fond,U,2,7,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,04 Bouches de refoulement grand débit réglables 6 à 8 m3/h construites en matière cycolac | 02 grilles bonde de fond avec grille en inox | 02 Prises de balai aspirateur réglable (prise balai) diamètre 2’’ en cycolac | un coffret métallique étanche (norme IP55) avec fermeture à clef,"4 : PIECES A SCELLER
04 Bouches de refoulement grand débit réglables 6 à 8 m3/h construites en matière cycolac.
02 grilles bonde de fond avec grille en inox.
02 Prises de balai aspirateur réglable (prise balai) diamètre 2’’ en cycolac
02 trop plein + vidange
Les traversées des parois nécessaires en matière plastique ABS
- un coffret métallique étanche (norme IP55) avec fermeture à clef.
- un disjoncteur magnétothermique différentiel générale réglable
- un disjoncteur moteur par pompe
- un contacteur par pompe
- un contacteur pour l’éclairage
- une horloge pour la gestion de l’éclairage",0.99
descriptif,16,Plomberie,Equipement bassin d’eau,,Prises de balai aspirateur,U,2,7,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,04 Bouches de refoulement grand débit réglables 6 à 8 m3/h construites en matière cycolac | 02 grilles bonde de fond avec grille en inox | 02 Prises de balai aspirateur réglable (prise balai) diamètre 2’’ en cycolac | Longueur 25 cm minimum | un coffret métallique étanche (norme IP55) avec fermeture à clef,"04 Bouches de refoulement grand débit réglables 6 à 8 m3/h construites en matière cycolac.
02 grilles bonde de fond avec grille en inox.
02 Prises de balai aspirateur réglable (prise balai) diamètre 2’’ en cycolac
02 trop plein + vidange
Les traversées des parois nécessaires en matière plastique ABS
- Longueur 25 cm minimum
- un coffret métallique étanche (norme IP55) avec fermeture à clef.
- un disjoncteur magnétothermique différentiel générale réglable
- un disjoncteur moteur par pompe
- un contacteur par pompe
- un contacteur pour l’éclairage
- une horloge pour la gestion de l’éclairage",0.748
descriptif,17,Plomberie,Equipement bassin d’eau,,Trop plein + vidange,U,2,7,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,02 grilles bonde de fond avec grille en inox | 02 Prises de balai aspirateur réglable (prise balai) diamètre 2’’ en cycolac | Longueur 25 cm minimum | un coffret métallique étanche (norme IP55) avec fermeture à clef,"02 grilles bonde de fond avec grille en inox.
02 Prises de balai aspirateur réglable (prise balai) diamètre 2’’ en cycolac
02 trop plein + vidange
Les traversées des parois nécessaires en matière plastique ABS
- Longueur 25 cm minimum
- Partie avant taraudée 2"" et 3""
- un coffret métallique étanche (norme IP55) avec fermeture à clef.
- un disjoncteur magnétothermique différentiel générale réglable
- un disjoncteur moteur par pompe
- un contacteur par pompe
- un contacteur pour l’éclairage
- une horloge pour la gestion de l’éclairage",0.748
descriptif,18,Plomberie,Equipement bassin d’eau,,Projeteurs LED RGB immergés,U,4,7,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,04 Projeteurs LED RGB immergés extra plat de 30 W / 12V | 04 Transformateurs 220/12V de 130 VA protégés amont et aval par disjoncteur électromagnétique et posés sur des supports installés au local technique | un coffret métallique étanche (norme IP55) avec fermeture à clef,"5 : ECLAIRAGE
Fourniture et pose d’un système d’éclairage de bassin constitué de :
- 04 Projeteurs LED RGB immergés extra plat de 30 W / 12V.
- 04 Transformateurs 220/12V de 130 VA protégés amont et aval par disjoncteur électromagnétique et
posés sur des supports installés au local technique.
- Projecteur en matière plastique ABS
- un coffret métallique étanche (norme IP55) avec fermeture à clef.
- un disjoncteur magnétothermique différentiel générale réglable
- un disjoncteur moteur par pompe
- un contacteur par pompe
- un contacteur pour l’éclairage
- une horloge pour la gestion de l’éclairage",0.764
descriptif,19,Plomberie,Equipement bassin d’eau,,Transformateurs 220/12V,U,4,7,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,04 Projeteurs LED RGB immergés extra plat de 30 W / 12V | 04 Transformateurs 220/12V de 130 VA protégés amont et aval par disjoncteur électromagnétique et posés sur des supports installés au local technique | un coffret métallique étanche (norme IP55) avec fermeture à clef,"Fourniture et pose d’un système d’éclairage de bassin constitué de :
- 04 Projeteurs LED RGB immergés extra plat de 30 W / 12V.
- 04 Transformateurs 220/12V de 130 VA protégés amont et aval par disjoncteur électromagnétique et
posés sur des supports installés au local technique.
- Projecteur en matière plastique ABS
- Support et niche thermoplastique renforcé
- un coffret métallique étanche (norme IP55) avec fermeture à clef.
- un disjoncteur magnétothermique différentiel générale réglable
- un disjoncteur moteur par pompe
- un contacteur par pompe
- un contacteur pour l’éclairage
- une horloge pour la gestion de l’éclairage",0.892
descriptif,20,Plomberie,Equipement bassin d’eau,,Tuyauteries en PVC PN16,ml,,7,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Ensemble des tuyauteries en PVC PN16 de distribution et alimentation de la piscine du local technique et de la b | Le dimensionnement des différents tubes se fera à des vitesses | 1.5 m/s à l’aspiration | un coffret métallique étanche (norme IP55) avec fermeture à clef,"- Presse étoupe sur câble.
6 : RESEAU HYDRAULIQUE
Ensemble des tuyauteries en PVC PN16 de distribution et alimentation de la piscine du local technique
et de la bâche tampon.
Le dimensionnement des différents tubes se fera à des vitesses :
-  1.5 m/s à l’aspiration
- un coffret métallique étanche (norme IP55) avec fermeture à clef.
- un disjoncteur magnétothermique différentiel générale réglable
- un disjoncteur moteur par pompe
- un contacteur par pompe
- un contacteur pour l’éclairage
- une horloge pour la gestion de l’éclairage",0.99
descriptif,21,Plomberie,Equipement bassin d’eau,,Armoire électrique de protection et la commande,U,,8,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,un coffret métallique étanche (norme IP55) avec fermeture à clef,"Rejets
7 : ARMOIRE ELECTRIQUE ET CABLAGE
Fourniture, pose et installation complète d’une armoire électrique de protection et la commande avec
câblage composée de la manière suivante :
- un coffret métallique étanche (norme IP55) avec fermeture à clef.
- un disjoncteur magnétothermique différentiel générale réglable",0.828
descriptif,22,Plomberie,Equipement bassin d’eau,,CITERNE EN PEHD,U,,8,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"8 : CITERNE EN PEHD Pour le stockage de l’eau, Fourniture et pose d’une citerne de 1000L PEHD bleue compacte qualité alimentaire","- 01 Traitement d’eau
- 04 projecteurs d’éclairage
8 : CITERNE EN PEHD
Pour le stockage de l’eau, Fourniture et pose d’une citerne de 1000L PEHD bleue compacte qualité
alimentaire.
Traitée anti-UV",0.764
descriptif,23,Plomberie,,B-07,Vanne de vidange Ø40,U,1,5,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Filtres à sable bobinés de Ø 500 en résine de polyester et fibre de verre (pression d’épreuve 4 bars) | Collecteurs d’eau ramifié inférieure et déflecteur supérieure en matière plastique PVC et PP inaltérable | Supports pour batteries en acier galvanisé et anti vibratile,"PRIX N° B-07 : EQUIPEMENT BASSIN D’EAU
Fourniture et pose d’une équipement bassin d’eau comprenant :
1 : POSTE DE FILTRATION
Fourniture et pose de :
Filtres à sable bobinés de Ø 500 en résine de polyester et fibre de verre (pression d’épreuve 4 bars).
• Couvercle de fermeture par vis, injecté.
• Finition en bleu ou vert satiné, avec protection anti-poussière au moyen d’un “flash” de vernis
transparent de polyuréthane.
• Collecteurs d’eau ramifié inférieure  et déflecteur supérieure en matière plastique PVC  et PP
inaltérable.
• Equipé d’un manomètre et d’une purge d’air et d’eau manuelle.
• Panneau de manomètres avec robinet de prise d’échantillon.",0.4
descriptif,24,Plomberie,,B-07,Crépine d'aspiration Ø50,U,1,5,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Filtres à sable bobinés de Ø 500 en résine de polyester et fibre de verre (pression d’épreuve 4 bars) | Collecteurs d’eau ramifié inférieure et déflecteur supérieure en matière plastique PVC et PP inaltérable | Supports pour batteries en acier galvanisé et anti vibratile,"PRIX N° B-07 : EQUIPEMENT BASSIN D’EAU
Fourniture et pose d’une équipement bassin d’eau comprenant :
1 : POSTE DE FILTRATION
Fourniture et pose de :
Filtres à sable bobinés de Ø 500 en résine de polyester et fibre de verre (pression d’épreuve 4 bars).
• Couvercle de fermeture par vis, injecté.
• Finition en bleu ou vert satiné, avec protection anti-poussière au moyen d’un “flash” de vernis
transparent de polyuréthane.
• Collecteurs d’eau ramifié inférieure  et déflecteur supérieure en matière plastique PVC  et PP
inaltérable.
• Equipé d’un manomètre et d’une purge d’air et d’eau manuelle.
• Panneau de manomètres avec robinet de prise d’échantillon.",0.4
descriptif,25,Plomberie,,B-07,Trappe hermétique,U,1,5,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Filtres à sable bobinés de Ø 500 en résine de polyester et fibre de verre (pression d’épreuve 4 bars) | Collecteurs d’eau ramifié inférieure et déflecteur supérieure en matière plastique PVC et PP inaltérable | Supports pour batteries en acier galvanisé et anti vibratile,"PRIX N° B-07 : EQUIPEMENT BASSIN D’EAU
Fourniture et pose d’une équipement bassin d’eau comprenant :
1 : POSTE DE FILTRATION
Fourniture et pose de :
Filtres à sable bobinés de Ø 500 en résine de polyester et fibre de verre (pression d’épreuve 4 bars).
• Couvercle de fermeture par vis, injecté.
• Finition en bleu ou vert satiné, avec protection anti-poussière au moyen d’un “flash” de vernis
transparent de polyuréthane.
• Collecteurs d’eau ramifié inférieure  et déflecteur supérieure en matière plastique PVC  et PP
inaltérable.
• Equipé d’un manomètre et d’une purge d’air et d’eau manuelle.
• Panneau de manomètres avec robinet de prise d’échantillon.",0.4
descriptif,26,Plomberie,,B-07,Trop plein Ø100,U,1,5,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Filtres à sable bobinés de Ø 500 en résine de polyester et fibre de verre (pression d’épreuve 4 bars) | Collecteurs d’eau ramifié inférieure et déflecteur supérieure en matière plastique PVC et PP inaltérable | Supports pour batteries en acier galvanisé et anti vibratile,"PRIX N° B-07 : EQUIPEMENT BASSIN D’EAU
Fourniture et pose d’une équipement bassin d’eau comprenant :
1 : POSTE DE FILTRATION
Fourniture et pose de :
Filtres à sable bobinés de Ø 500 en résine de polyester et fibre de verre (pression d’épreuve 4 bars).
• Couvercle de fermeture par vis, injecté.
• Finition en bleu ou vert satiné, avec protection anti-poussière au moyen d’un “flash” de vernis
transparent de polyuréthane.
• Collecteurs d’eau ramifié inférieure  et déflecteur supérieure en matière plastique PVC  et PP
inaltérable.
• Equipé d’un manomètre et d’une purge d’air et d’eau manuelle.
• Panneau de manomètres avec robinet de prise d’échantillon.",0.4
descriptif,27,Plomberie,,B-08,Vanne de Bypass,U,3,9,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,attente d’arrosage pour le by-pass du réseau eau potable comprenant,"PRIX N°B-08 : ATTENTE ARROSAGE
Fourniture et pose d’une attente d’arrosage pour le by-pass du réseau eau potable comprenant :
•  03 Vanne de Bypass
•   Disconnecteur
•   Clapet antiretour",0.712
descriptif,28,Plomberie,,B-08,Disconnecteur,U,1,9,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,attente d’arrosage pour le by-pass du réseau eau potable comprenant,"PRIX N°B-08 : ATTENTE ARROSAGE
Fourniture et pose d’une attente d’arrosage pour le by-pass du réseau eau potable comprenant :
•  03 Vanne de Bypass
•   Disconnecteur
•   Clapet antiretour",0.664
descriptif,29,Plomberie,,B-08,Clapet antiretour,U,1,9,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,attente d’arrosage pour le by-pass du réseau eau potable comprenant,"PRIX N°B-08 : ATTENTE ARROSAGE
Fourniture et pose d’une attente d’arrosage pour le by-pass du réseau eau potable comprenant :
•  03 Vanne de Bypass
•   Disconnecteur
•   Clapet antiretour",0.99
descriptif,30,Plomberie,,B-09,"Tube en polyéthylène ""ligne bleu""",ml,,9,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"De série 16bars, le tube en polyéthylène ""ligne bleu"" sera enterré sur un lit de sable de 10cm minimum | Les essais seront effectués à une pression de 10 kg/cm 2, ils devront être réalisés en présence du | La génératrice inférieure du tuyau sera en parfait contact avec le sol et à une profondeur moyenne | 1,00 m au-dessous du niveau du sol fini","PRIX N° B-09 : TUBE POLYETHYLENE LIGNE BLEU
Fourniture et pose :
De série 16bars, le tube en polyéthylène ""ligne bleu"" sera enterré sur un  lit de sable de 10cm
minimum.
Les essais seront effectués à une pression de 10 kg/cm 2 , ils devront être réalisés en présence du
Bureau de contrôle et du Bureau d'Etude et feront l'objet d'un procès-verbal.
La génératrice inférieure du tuyau sera en parfait contact avec le sol et à une profondeur moyenne de
1,00 m au-dessous du niveau du sol fini.
Les tranchées et les remblais seront prévus dans le lot VRD et seront mis en place par couches
successives de 0,20 mètres compris arrosage et compactage à la dame pour éviter tout tassement
ultérieur.
Un grillage avertisseur normalisé dans le lot VRD sera installé le long du lit de pose, à une profondeur",0.99
descriptif,31,Appareils sanitaires,Pose,C-01,Évier,U,1,10,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Siphon en PVC | de PVC des évacuations,"PRIX N° C-01 : EVIER
Pose d'un évier comprenant :
- Pose de Robinetterie
- Fourniture et pose de 02 robinets d’arrêt Shell
- Fourniture et pose de Siphon en PVC
- Fourniture et pose de Flexibles de raccordement eaux alimentations
- Fourniture et pose de PVC des évacuations",0.99
descriptif,32,Appareils sanitaires,Pose,C-01,Robinetterie,U,1,10,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Siphon en PVC | de PVC des évacuations,"PRIX N° C-01 : EVIER
Pose d'un évier comprenant :
- Pose de Robinetterie
- Fourniture et pose de 02 robinets d’arrêt Shell
- Fourniture et pose de Siphon en PVC
- Fourniture et pose de Flexibles de raccordement eaux alimentations
- Fourniture et pose de PVC des évacuations",0.99
descriptif,33,Appareils sanitaires,Pose,C-01,Robinets d’arrêt Shell,U,2,10,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Siphon en PVC | de PVC des évacuations,"PRIX N° C-01 : EVIER
Pose d'un évier comprenant :
- Pose de Robinetterie
- Fourniture et pose de 02 robinets d’arrêt Shell
- Fourniture et pose de Siphon en PVC
- Fourniture et pose de Flexibles de raccordement eaux alimentations
- Fourniture et pose de PVC des évacuations",0.99
descriptif,34,Appareils sanitaires,Pose,C-01,Siphon en PVC,U,1,10,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,de PVC des évacuations,"PRIX N° C-01 : EVIER
Pose d'un évier comprenant :
- Pose de Robinetterie
- Fourniture et pose de 02 robinets d’arrêt Shell
- Fourniture et pose de Siphon en PVC
- Fourniture et pose de Flexibles de raccordement eaux alimentations
- Fourniture et pose de PVC des évacuations",0.99
descriptif,35,Appareils sanitaires,Pose,C-01,Flexibles de raccordement eaux alimentations,U,1,10,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Siphon en PVC | de PVC des évacuations,"PRIX N° C-01 : EVIER
Pose d'un évier comprenant :
- Pose de Robinetterie
- Fourniture et pose de 02 robinets d’arrêt Shell
- Fourniture et pose de Siphon en PVC
- Fourniture et pose de Flexibles de raccordement eaux alimentations
- Fourniture et pose de PVC des évacuations",0.99
descriptif,36,Appareils sanitaires,Pose,C-01,PVC des évacuations,U,1,10,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Siphon en PVC | de PVC des évacuations,"PRIX N° C-01 : EVIER
Pose d'un évier comprenant :
- Pose de Robinetterie
- Fourniture et pose de 02 robinets d’arrêt Shell
- Fourniture et pose de Siphon en PVC
- Fourniture et pose de Flexibles de raccordement eaux alimentations
- Fourniture et pose de PVC des évacuations",0.99
